CHSI_County_Name,CHSI_State_Name,Population_Size,Brst_Cancer,Col_Cancer,CHD,Lung_Cancer,MVA,Stroke,Suicide,Injury,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,All_Death,Death_Rate
Richmond,Georgia,195769,28,20.1,174.1,65,16.1,72.5,12,22.9,26394,6444,5305,11316,10262,1129.7,0.58%
Rockdale,Georgia,78545,25.7,19.3,158.1,68.9,13.6,79.5,10.3,24.8,8762,2261,1759,4609,4062,951,1.21%
Screven,Georgia,15430,35.7,30.7,205.5,66.1,32.1,110.9,12.4,21.1,3256,392,514,911,808,1048.5,6.80%
Spalding,Georgia,61289,32.7,21.7,170.3,67.6,18.1,87.2,15.5,23.4,12648,2117,1589,3578,3053,1103.9,1.80%
Stephens,Georgia,25060,43.2,27.2,141.6,58.9,30.6,75.8,14.7,27.7,4821,777,772,1529,1297,1045.9,4.17%
Sumter,Georgia,32912,29.4,14.8,185.6,55.3,17.7,105.9,8.1,27.4,6094,1023,1024,1902,1718,1002.7,3.05%
Tattnall,Georgia,23211,28.5,20.5,223,75.4,29.7,86.3,17.5,21.6,5144,574,724,1424,1235,1078.4,4.65%
Taylor,Georgia,8887,28.3,27.1,240.9,56.4,42.6,100.2,15.4,19.6,2074,259,338,526,455,1111.9,12.51%
Telfair,Georgia,13205,30.8,25.6,246.6,74.6,33.3,107.7,14.7,32.8,3279,345,438,839,713,1196.5,9.06%
Terrell,Georgia,10711,27.2,35.1,206.1,92.2,17.9,79.4,9.7,16.5,2365,325,369,619,544,1111.2,10.37%
Thomas,Georgia,44692,25.7,17.3,154.2,72.6,27.3,91.6,12,24.3,7705,1040,1535,2671,2289,1033.7,2.31%
Tift,Georgia,40793,29.5,20.1,176.3,56.7,21,72.9,12,20.9,8116,1032,1060,2368,2123,968.7,2.37%
Toombs,Georgia,27274,16.7,19.4,103.5,79.1,36.3,92.5,10.2,21.9,5616,819,908,1578,1368,1104,4.05%
Towns,Georgia,10315,26.4,16.1,126.3,47.6,19.5,51.9,16.7,20.8,1893,195,366,678,530,778.3,7.55%
Troup,Georgia,62015,26.3,23.4,185.9,60.3,20.1,87.5,13.2,20,10592,2166,1892,3622,3173,1115.3,1.80%
Twiggs,Georgia,10299,22.7,27.8,232.5,76.6,46.2,76.8,18.4,20.8,2483,340,404,624,537,1144.6,11.11%
Union,Georgia,19782,21.5,20,156.2,59.4,23.1,57.4,12.5,22.1,3706,397,653,1282,1008,836.5,4.23%
Upson,Georgia,27679,19.7,23.3,170.3,58.8,21.6,131,19.1,24.1,6116,823,1129,1671,1411,1139.3,4.12%
Walker,Georgia,63890,28.2,20.3,270.6,92.3,17.3,73,10.3,25.6,14454,1608,2632,3925,3233,1088.5,1.70%
Walton,Georgia,75647,23.9,16.3,236.4,56.9,25.5,79.2,10.8,21.2,12960,1679,1708,4458,3795,948.7,1.25%
Ware,Georgia,34492,21.1,14.7,186,63.7,23.1,73.3,15,27.9,6698,879,1561,2067,1751,1031.6,2.99%
Washington,Georgia,20118,23.1,22.4,162.1,62.7,33.4,73.9,12.2,22.9,4144,588,575,1198,1032,1023.7,5.09%
Wayne,Georgia,28390,14.7,24.3,218.8,60.1,29.6,129.1,11.7,29.6,5628,733,824,1700,1424,1082.8,3.81%
White,Georgia,24055,26.6,18.5,180.7,55.3,21.8,73.2,18.1,19.5,3963,490,654,1488,1225,872.5,3.63%
Whitfield,Georgia,90889,22.9,17.1,167.7,73.6,20.5,73.3,12.2,25.1,20823,2271,2913,5150,4426,994.2,1.09%
Wilkes,Georgia,10457,35.3,23,196,70,36.3,79.7,12,34,2514,319,349,646,524,1037.8,9.92%
Wilkinson,Georgia,10143,26.8,20.3,233.5,69.5,46.6,79.6,20.4,28.9,1954,271,344,603,511,1089.3,10.74%
Worth,Georgia,21996,25.5,19.7,208.5,61.2,30.5,64.4,11.2,25.7,4544,582,692,1304,1113,966.4,4.39%
